"","CpG","avg_meth_rate","min_pval","pvals_cloneass","Type"
"AMPL376447","AMPL376447",0.198847677349658,3.40376977469761e-33,0.12970783331758,NA
"AMPL371688","AMPL371688",0.100324090745409,6.62018920415138e-11,1,NA
"AMPL371137","AMPL371137",0.664097947425279,2.4905900989457e-11,1,"Dynamic"
"AMPL371170","AMPL371170",0.216348577601728,1.80132020041809e-18,0.00139029675747973,NA
"AMPL366134","AMPL366134",0.820165646380987,8.62202183702787e-31,1.38369757766957e-05,"Dynamic"
"AMPL366093","AMPL366093",0.111487216420598,1.84312232461391e-29,2.7341390538237e-22,NA
"AMPL365920","AMPL365920",0.0554555275477134,6.33571024297231e-23,1,NA
"AMPL366060","AMPL366060",0.371840115232265,2.49583048877247e-42,5.28746047324794e-10,"Dynamic"
"AMPL377076","AMPL377076",0.136190133237306,2.36381300822366e-25,1.46508478256281e-16,NA
"AMPL366212","AMPL366212",0.65034209578682,1.61170271800441e-09,0.0641134587607488,"Dynamic"
"AMPL355442","AMPL355442",0.0518545192653943,2.51716105258937e-15,0.000157544637008229,NA
"AMPL355412","AMPL355412",0.164998199495859,2.53112807199498e-25,1.10006419976985e-16,NA
"AMPL371357","AMPL371357",0.084695714800144,8.52432552882284e-21,0.00121448516914566,NA
"AMPL355663","AMPL355663",0.104429240187252,1.03461548878284e-13,0.948096677694257,NA
"AMPL355970","AMPL355970",0.641267554915376,3.25746893301442e-07,0,"Dynamic"
"AMPL377391","AMPL377391",0.280374504861361,9.36630340366314e-12,0.000418039829335651,"Dynamic"
"AMPL371668","AMPL371668",0.233201296362982,8.49515643208129e-28,1.30509210087166e-08,NA
"AMPL365990","AMPL365990",0.0535830032409075,1.97039742288348e-35,9.34492457418944e-14,NA
"AMPL371572","AMPL371572",0.689593086064098,2.44939971799689e-06,2.19501874300283e-16,"Dynamic"
"AMPL365938","AMPL365938",0.377241627655744,9.74866715509383e-55,3.02944446960698e-07,"Dynamic"
"AMPL365905","AMPL365905",0.259488656823911,1.05764038185962e-21,4.00975725411443e-17,"Dynamic"
"AMPL376910","AMPL376910",0.385091825711199,5.24915301841317e-19,3.00967020001741e-16,"Dynamic"
"AMPL366045","AMPL366045",0.0755491537630537,2.46337764502395e-20,0.545830984204171,NA
"AMPL376601","AMPL376601",0.287792581922938,4.92521154258225e-13,1,"Dynamic"
"AMPL365939","AMPL365939",0.585163845876846,3.01931990416943e-19,0.278506230286102,"Dynamic"
"AMPL371758","AMPL371758",0.120489737126395,5.75745904574869e-37,0.000188962478790235,NA
"AMPL366066","AMPL366066",0.0967230824630897,1.00906713344841e-27,3.8100503428955e-05,NA
"AMPL355903","AMPL355903",0.114944184371624,1.9811808186796e-06,1,NA
"AMPL371618","AMPL371618",0.241339575081023,5.87749965062735e-21,1.46239217517036e-23,NA
"AMPL371676","AMPL371676",0.621678069859561,2.0663965243871e-16,0.0122861979550747,"Dynamic"
"AMPL376711","AMPL376711",0.19423838674829,5.65937273524616e-21,0.336299768336383,NA
"AMPL355560","AMPL355560",0.0828231904933381,3.09616066263387e-24,1,NA
"AMPL365802","AMPL365802",0.417933021245949,1.36184802242379e-10,1.7934016785946e-74,"Dynamic"
"AMPL365898","AMPL365898",0.0727403673028448,3.07097747719421e-29,1,NA
"AMPL371673","AMPL371673",0.246597047173208,2.15660608198737e-05,1,NA
"AMPL371378","AMPL371378",0.225351098307526,4.6896087790541e-14,1.32703317931207e-130,NA
"AMPL366081","AMPL366081",0.335613971912135,8.01248442750974e-27,1.03606643615292e-47,"Dynamic"
"AMPL366000","AMPL366000",0.471588044652503,1.53189635332671e-26,0.00583259997866763,"Dynamic"
"AMPL371214","AMPL371214",0.440907454087144,2.31218456578518e-12,0.0107260896972887,"Dynamic"
"AMPL355849","AMPL355849",0.347641339575081,2.66518186301992e-36,1.84497987681971e-10,"Dynamic"
"AMPL371741","AMPL371741",0.140799423838675,6.19483329602727e-42,4.05747008591524e-26,NA
"AMPL371701","AMPL371701",0.13035649981995,6.1524794654054e-26,4.27317199926268e-09,NA
"AMPL371188","AMPL371188",0.316672668347137,3.93275038830621e-22,2.13541341139262e-10,"Dynamic"
"AMPL371743","AMPL371743",0.329636298163486,1.16716645095005e-30,5.55769686623311e-48,"Dynamic"
"AMPL366028","AMPL366028",0.174864962189413,2.34970676682115e-44,1.03994656465305e-113,NA
"AMPL376554","AMPL376554",0.0617212819589485,2.83999669209957e-24,1,NA
"AMPL371788","AMPL371788",0.0859200576161325,1.07180540145515e-23,1,NA
"AMPL355637","AMPL355637",0.60079222182211,1.78081307274411e-07,8.72076402536993e-20,"Dynamic"
"AMPL371503","AMPL371503",0.66805905653583,1.03035702872138e-13,1.99037383432766e-11,"Dynamic"
"AMPL371535","AMPL371535",0.185595966870724,4.7833365436172e-18,4.117949443798e-19,NA
"AMPL371418","AMPL371418",0.383003240907454,3.77426670054997e-23,1.20851325351424e-18,"Dynamic"
"AMPL366243","AMPL366243",0.140943464169968,2.99514316737812e-26,0.00171659680962091,NA
"AMPL371353","AMPL371353",0.325387108390349,6.57726424204013e-34,0.00723490836364988,"Dynamic"
"AMPL371655","AMPL371655",0.0848397551314368,1.776443771808e-11,1.35448739294189e-06,NA
"AMPL376642","AMPL376642",0.490961469211379,2.94762688451284e-20,5.57385714877842e-07,"Dynamic"
"AMPL365953","AMPL365953",0.508102268635218,8.95669460042481e-10,0.39193763511886,"Dynamic"
"AMPL371580","AMPL371580",0.150018005041412,6.40346041623415e-25,1,NA
"AMPL371359","AMPL371359",0.615556355779618,1.10423484616874e-28,1.70481583407009e-15,"Dynamic"
"AMPL365901","AMPL365901",0.184371624054735,3.41936632170353e-35,2.26886324754431e-54,NA
"AMPL371570","AMPL371570",0.986028087864602,0.0200893004331552,1,NA
"AMPL371814","AMPL371814",0.260568959308606,6.23669936529636e-10,1.77260017049481e-54,"Dynamic"
"AMPL371312","AMPL371312",0.300684191573641,2.79843398879224e-17,1.66103218670646e-11,"Dynamic"
"AMPL365804","AMPL365804",0.563917897011163,1.04962680445036e-07,4.12053742367513e-07,"Dynamic"
"AMPL371677","AMPL371677",0.147569319409435,7.57983427569717e-15,0.000102263632124173,NA
"AMPL366031","AMPL366031",0.301764494058336,3.19009729888485e-28,1,"Dynamic"
"AMPL365795","AMPL365795",0.225207057976233,3.33434952750762e-37,2.44077255020529e-40,NA
"AMPL371606","AMPL371606",0.208642419877566,1.70195464692289e-07,4.39858944303167e-08,NA
"AMPL371716","AMPL371716",0.734389629096147,3.51544735535381e-33,1.12439783083918e-126,"Dynamic"
"AMPL371452","AMPL371452",0.833057256031689,1.16137722236534e-07,6.35378817673412e-26,"Dynamic"
"AMPL371736","AMPL371736",0.678069859560677,9.14079102906225e-19,2.09985496675279e-32,"Dynamic"
"AMPL365943","AMPL365943",0.318473172488297,9.50958510648114e-30,1,"Dynamic"
"AMPL365818","AMPL365818",0.173424558876485,8.65043080310612e-26,7.53971392762977e-26,NA
"AMPL371486","AMPL371486",0.818365142239827,0.0709505697217606,1,"Static"
"AMPL366056","AMPL366056",0.241051494418437,2.70635707664945e-08,0.000639544441178269,NA
"AMPL377538","AMPL377538",0.20835433921498,2.47122209506116e-05,9.51249212512836e-22,NA
"AMPL371185","AMPL371185",0.442851998559597,1.11097232672612e-10,5.81835747059679e-17,"Dynamic"
"AMPL371805","AMPL371805",0.171624054735326,4.2618225909495e-09,1,NA
"AMPL371231","AMPL371231",0.879294202376665,0.00778977113293215,7.41843288781664e-14,"Static"
"AMPL371552","AMPL371552",0.403456967951026,2.39668760501889e-34,1,"Dynamic"
"AMPL371720","AMPL371720",0.296290961469211,2.9014178830018e-15,2.23886133768136e-07,"Dynamic"
"AMPL365907","AMPL365907",0.0128195894850558,2.59667760223588e-13,0.886161415063815,NA
"AMPL371197","AMPL371197",0.202160604969391,1.56605962801426e-43,2.84396652527274e-11,NA
"AMPL371323","AMPL371323",0.926539431040691,2.15339630359607e-19,1,NA
"AMPL366142","AMPL366142",0.752538710839035,2.21287908905759e-12,1.01632941170739e-228,"Dynamic"
"AMPL355654","AMPL355654",0.733165286280158,2.00627901139116e-11,1.27580477538927e-169,"Dynamic"
"AMPL365828","AMPL365828",0.241915736406194,1.53921588328399e-27,2.44936601073024e-08,NA
"AMPL355639","AMPL355639",0.413755851638459,0.000631315389200841,9.07856283714593e-141,"Static"
"AMPL376721","AMPL376721",0.956859920777818,1.5469251907637e-07,2.86505387887782e-25,NA
"AMPL389964","AMPL389964",0.884551674468851,8.24109434092337e-14,0,"Dynamic"
"AMPL390252","AMPL390252",0.93611811307166,0.00332936677398349,1.1658826952733e-05,NA
"AMPL365731","AMPL365731",0.62448685631977,0.0006290111232823,0,"Static"
"AMPL376850","AMPL376850",0.601440403312928,0.00141020726287095,0,"Static"
"AMPL376373","AMPL376373",0.937990637378466,3.48500091506838e-05,5.86259723736637e-08,NA
"AMPL377317","AMPL377317",0.653583003240907,1.78174314480397e-09,1.90298266359496e-49,"Dynamic"
"AMPL377328","AMPL377328",0.867770975873244,0.0305847139841593,8.14947421859385e-181,"Static"
"AMPL390370","AMPL390370",0.546849117752971,0.0101563931542,0,"Static"
"AMPL371591","AMPL371591",0.849909974792942,0.0333066029648518,3.43151083732954e-135,"Static"
"AMPL371522","AMPL371522",0.881022686352179,0.000313368625816572,0,"Static"
"AMPL390025","AMPL390025",0.760676989557076,0.0426778516317314,0,"Static"
"AMPL371508","AMPL371508",0.844508462369463,3.55281392873572e-10,0.00465793740394103,"Dynamic"
"AMPL355615","AMPL355615",0.553763053655023,7.56810742668753e-05,0,"Dynamic"
"AMPL376609","AMPL376609",0.91501620453727,6.31202088431393e-06,3.15590771369927e-07,NA
"AMPL388228","AMPL388228",0.481238746849118,0.0798857688292991,0,"Static"
"AMPL371634","AMPL371634",0.995750810226864,0.0241513376703681,0.11133886659105,NA
"AMPL371541","AMPL371541",0.504501260352899,0.000101656161849519,4.48168961331737e-89,"Dynamic"
"AMPL388797","AMPL388797",0.46726683471372,0.000406352394490958,0,"Static"
"AMPL371547","AMPL371547",0.709038530788621,0.122377431506259,0,"Static"
"AMPL355851","AMPL355851",0.724882967230825,8.38493589058072e-18,5.15877738756562e-40,"Dynamic"
"AMPL376496","AMPL376496",0.77472092185812,2.54035038116627e-19,8.78092876289464e-12,"Dynamic"
"AMPL376957","AMPL376957",0.923514584083543,0.0058486101453274,7.88344344192689e-230,NA
"AMPL377097","AMPL377097",0.391789701116313,2.94033283185816e-15,8.87686821556457e-125,"Dynamic"
"AMPL371255","AMPL371255",0.650846236946345,0.000176955581803568,4.10768524837032e-141,"Static"
"AMPL371813","AMPL371813",0.895930860640979,0.00388613779435465,1.46763135564812e-43,"Static"
"AMPL388838","AMPL388838",0.987828592005762,0.0767107238481703,1,NA
"AMPL376591","AMPL376591",0.87900612171408,0.150173912526754,4.80344810700755e-161,"Static"
"AMPL377144","AMPL377144",0.988620813827872,0.00405701146503774,1,NA
"AMPL371421","AMPL371421",0.703781058696435,1.86996611713228e-22,0.187108229723001,"Dynamic"
"AMPL376854","AMPL376854",0.0787180410514944,2.71850716851386e-06,0,NA
"AMPL371238","AMPL371238",0.846813107670148,6.73321439897503e-74,6.39289061644858e-05,"Dynamic"
"AMPL388681","AMPL388681",0.467626935541952,0.000406899190194531,0,"Static"
"AMPL371217","AMPL371217",0.81591645660785,0.000504589138322287,1.83774448600501e-238,"Static"
"AMPL371186","AMPL371186",0.153330932661145,6.28206853660835e-17,0.061862360417951,NA
"AMPL378478","AMPL378478",0.699171768095067,0.0502917561435943,3.67445804523104e-93,"Static"
"AMPL390117","AMPL390117",0.870507742167807,6.23321264504539e-23,1.96547188184445e-07,"Dynamic"
"AMPL390585","AMPL390585",0.604537270435722,0.00161526572813979,1,"Static"
"AMPL390129","AMPL390129",0.710262873604609,0.0034030767010678,0,"Static"
"AMPL371237","AMPL371237",0.66964350018005,4.6381929868036e-24,3.52552411800734e-24,"Dynamic"
"AMPL355844","AMPL355844",0.979978393950306,0.0293645245476083,1,NA
"AMPL376597","AMPL376597",0.770327691753691,2.09547492406727e-85,1.3228728838483e-07,"Dynamic"
"AMPL365812","AMPL365812",0.41850918257112,0.0515424273521478,9.73122882260826e-304,"Static"
"AMPL390097","AMPL390097",0.885271876125315,0.0016890657581757,6.52639295548144e-120,"Static"
"AMPL355829","AMPL355829",0.832553114872164,0.0322826205777422,7.07106706407548e-133,"Static"
"AMPL355873","AMPL355873",0.792221822110191,0.0106544463594192,1.61369218154228e-73,"Static"
"AMPL355742","AMPL355742",0.043284119553475,2.28650275514439e-06,1,NA
"AMPL355889","AMPL355889",0.19661505221462,8.69347719738548e-10,2.80834488411413e-11,NA
"AMPL365997","AMPL365997",0.58826071299964,3.01636492305885e-07,0.000150098161183472,"Dynamic"
"AMPL376733","AMPL376733",0.469283399351819,8.86421740993915e-12,0,"Dynamic"
"AMPL390626","AMPL390626",0.290025207057976,0.000149777033004493,0,"Static"
"AMPL365730","AMPL365730",0.608786460208859,0.000244251837644012,2.43234085567739e-211,"Static"
"AMPL390006","AMPL390006",0.989629096146921,1.42257147394277e-08,1,NA
"AMPL371756","AMPL371756",0.797047173208498,7.23374579806701e-22,2.70480866357296e-135,"Dynamic"
"AMPL355580","AMPL355580",0.850270075621174,0.00603104217983477,0,"Static"
"AMPL365940","AMPL365940",0.877709758732445,5.42707019470852e-08,2.80900333736797e-220,"Dynamic"
"AMPL366193","AMPL366193",0.485992077781779,2.1737746538087e-23,0.000916558348748754,"Dynamic"
"AMPL377424","AMPL377424",0.906157724162766,0.00791317959435813,1.85480223660073e-66,NA
"AMPL377537","AMPL377537",0.0610731004681311,8.87253275317821e-05,1,NA
"AMPL378928","AMPL378928",0.822542311847317,0.000282169396322091,9.43340905181806e-72,"Static"
"AMPL378501","AMPL378501",0.607922218221102,0.0309729803041509,0,"Static"
"AMPL388692","AMPL388692",0.844148361541232,6.76355139986745e-08,7.97871228535031e-112,"Dynamic"
"AMPL355676","AMPL355676",0.739719121353979,0.00200177124087656,7.82676082458032e-135,"Static"
"AMPL355831","AMPL355831",0.49413035649982,0.00184051169309776,0,"Static"
"AMPL376547","AMPL376547",0.976449405833633,0.00343770251932005,0.00499575876607603,NA
"AMPL371772","AMPL371772",0.746921137918617,0.000125617615990316,0,"Static"
"AMPL371261","AMPL371261",0.998703637018365,0.115038995829949,1,NA
"AMPL371729","AMPL371729",0.529276197335254,2.96856939679033e-23,2.36949247600306e-07,"Dynamic"
"AMPL371483","AMPL371483",0.862153402952827,0.0133959932390234,6.9556970397415e-199,"Static"
"AMPL371172","AMPL371172",0.901260352898812,0.00216353758103612,8.65362711911561e-151,NA
"AMPL371792","AMPL371792",0.483831472812387,5.9190036783831e-14,1.5138205237633e-26,"Dynamic"
"AMPL371355","AMPL371355",0.707886208138279,7.72979573106272e-05,0,"Dynamic"
"AMPL355534","AMPL355534",0.805113431760893,4.26746501643579e-08,6.46461388917693e-48,"Dynamic"
"AMPL377174","AMPL377174",0.863017644940583,4.17199833675195e-52,2.38341023989764e-15,"Dynamic"
"AMPL366007","AMPL366007",0.878285920057616,1.1302549779585e-07,1.16195738134841e-09,"Dynamic"
"AMPL366182","AMPL366182",0.860785019805546,0.0108691384980217,0,"Static"
"AMPL371512","AMPL371512",0.424342815988477,0.0528183051971593,0,"Static"
"AMPL390462","AMPL390462",0.985956067698956,0.0582951232919203,0.000121876199850336,NA
"AMPL378486","AMPL378486",0.877781778898092,4.45600543164163e-06,0,"Dynamic"
"AMPL371404","AMPL371404",0.30666186532229,4.73346143384535e-21,2.26109484719869e-10,"Dynamic"
"AMPL376643","AMPL376643",0.969535469931581,0.0278632160936836,1.94747190959793e-127,NA
"AMPL390336","AMPL390336",0.529276197335254,1.17302260720046e-05,0,"Dynamic"
"AMPL390512","AMPL390512",0.926539431040691,0.0416785376257486,0,NA
"AMPL371317","AMPL371317",0.427079582283039,9.4730933182298e-06,0,"Dynamic"
"AMPL371811","AMPL371811",0.800720201656464,6.50199948709988e-12,0,"Dynamic"
"AMPL376577","AMPL376577",0.846669067338855,0.0398874922221999,1.54788263720037e-14,"Static"
"AMPL376593","AMPL376593",0.437522506301764,0.00855708070269095,0,"Static"
"AMPL371251","AMPL371251",0.749513863881887,0.00630419050002125,0,"Static"
"AMPL371471","AMPL371471",0.948505581562838,2.01259840560137e-05,2.10856903781081e-08,NA
"AMPL371303","AMPL371303",0.255167446885128,0.0266696107662872,0,"Static"
"AMPL377510","AMPL377510",0.925891249549874,0.00611927755535787,5.09239555993682e-226,NA
"AMPL365861","AMPL365861",0.334605689593086,1.0272491344686e-26,2.51004699011419e-10,"Dynamic"
"AMPL371644","AMPL371644",0.589485055815628,3.07947278048689e-06,2.42262154130285e-276,"Dynamic"
"AMPL365729","AMPL365729",0.923010442924019,0.00641009515447133,8.84653486644857e-31,NA
"AMPL388345","AMPL388345",0.351170327691754,0.00187431116097406,0,"Static"
"AMPL371773","AMPL371773",0.641699675909255,1.16330470786903e-05,0,"Dynamic"
"AMPL371292","AMPL371292",0.526179330212459,0.00570490862383412,0,"Static"
"AMPL371810","AMPL371810",0.543896290961469,0.0101249929364609,0,"Static"
"AMPL376843","AMPL376843",0.900396110911055,4.00766465762374e-08,3.45407947527625e-83,NA
"AMPL390223","AMPL390223",0.34785740007202,0.0244207090523253,0,"Static"
"AMPL371812","AMPL371812",0.797551314368023,0.00185080036972035,0,"Static"
"AMPL390215","AMPL390215",0.999711919337414,1,1,NA
"AMPL371589","AMPL371589",0.616420597767375,9.7344446830603e-52,6.22056924549825e-18,"Dynamic"
"AMPL371389","AMPL371389",0.859848757652143,3.63827786804696e-27,1,"Dynamic"
"AMPL371271","AMPL371271",0.887144400432121,1.14093788592225e-17,1.44807133573051e-06,"Dynamic"
"AMPL371265","AMPL371265",0.677781778898091,1.02143205578579e-21,1.96159201731529e-17,"Dynamic"
"AMPL366159","AMPL366159",0.731076701476413,1.82031412273998e-43,8.8170418174979e-10,"Dynamic"
"AMPL371654","AMPL371654",0.767014764133958,9.5959605066964e-10,3.76438811780664e-212,"Dynamic"
"AMPL371420","AMPL371420",0.527979834353619,4.07275362856209e-43,1.34552615897501e-19,"Dynamic"
"AMPL355947","AMPL355947",0.677781778898091,2.09253652958524e-17,9.20048917461441e-244,"Dynamic"
"AMPL390594","AMPL390594",0.996975153042852,0.1590693149112,0.985710229949585,NA
"AMPL355546","AMPL355546",0.668347137198416,2.13454068076615e-57,7.36978861238322e-14,"Dynamic"
"AMPL355932","AMPL355932",0.837882607129996,5.66258339299055e-05,0,"Dynamic"
"AMPL365895","AMPL365895",0.692401872524307,1.12978604107277e-22,3.24656593040362e-06,"Dynamic"
"AMPL365894","AMPL365894",0.663809866762694,4.27547886575314e-38,9.43905662173977e-14,"Dynamic"
"AMPL371600","AMPL371600",0.669931580842636,9.63780379200521e-24,4.57039956480136e-20,"Dynamic"
"AMPL355545","AMPL355545",0.974432841195535,0.150699669954803,1,NA
"AMPL365945","AMPL365945",0.570615772416277,1.91505689861195e-05,6.3477100619111e-14,"Dynamic"
"AMPL365823","AMPL365823",0.489305005401512,5.76430908358588e-09,2.87387601517141e-24,"Dynamic"
"AMPL365750","AMPL365750",0.749729924378826,6.15879424550644e-38,9.36814713394167e-23,"Dynamic"
"AMPL371732","AMPL371732",0.519697515304285,0.000593364380878824,5.00713368427159e-286,"Static"
"AMPL371479","AMPL371479",0.741951746489017,2.65355368362727e-13,2.00290904667129e-68,"Dynamic"
"AMPL371488","AMPL371488",0.471876125315088,7.03456099476425e-15,5.52288606909794e-191,"Dynamic"
"AMPL365844","AMPL365844",0.373856679870364,0.106935073144996,1.2009696444977e-116,"Static"
"AMPL365790","AMPL365790",0.965214259992798,0.0501952341035278,8.72219839726801e-05,NA
"AMPL371358","AMPL371358",0.397695354699316,2.40777398758291e-18,0.00247145198153562,"Dynamic"
"AMPL371262","AMPL371262",0.724882967230825,8.43725862418571e-16,8.08271879319981e-25,"Dynamic"
"AMPL366082","AMPL366082",0.6925459128556,1.92142744364171e-44,3.14654053294171e-18,"Dynamic"
"AMPL365923","AMPL365923",0.417428880086424,2.89068037624296e-08,6.64408450761118e-248,"Dynamic"
"AMPL390593","AMPL390593",0.772848397551314,6.3087299260655e-09,2.89474673939875e-46,"Dynamic"
"AMPL366042","AMPL366042",0.552250630176449,1.81780368357458e-12,6.74740978056467e-20,"Dynamic"
"AMPL371491","AMPL371491",0.778682030968671,9.46072262798262e-05,2.63067479632427e-113,"Dynamic"
"AMPL371429","AMPL371429",0.834137558516385,4.76742536657782e-07,9.25797894405793e-229,"Dynamic"
"AMPL376551","AMPL376551",0.776665466330573,1.7410408987916e-54,1.64903408620072e-07,"Dynamic"
"AMPL376320","AMPL376320",0.724162765574361,0.199680285810557,2.31456406550331e-59,"Static"
"AMPL389990","AMPL389990",0.624126755491538,7.5814505321002e-09,1.53699675610813e-07,"Dynamic"
"AMPL366090","AMPL366090",0.352466690673389,9.73898237811107e-37,9.36681424092779e-40,"Dynamic"
"AMPL376917","AMPL376917",0.449693914296003,4.28825228141437e-55,1.29578271422728e-25,"Dynamic"
"AMPL376929","AMPL376929",0.68397551314368,0.000146498926797071,6.10740838284796e-99,"Static"
